tag,count
1980s,104
1990's,233
2.5d,205
2d,2224
2d fighter,104
2d platformer,180
360 video,6
3d,706
3d fighter,44
3d platformer,203
3d vision,49
4 player local,180
4x,96
6dof,26
abstract,95
action,3869
action rogue-like,6
action roguelike,311
action rpg,481
action rts,27
action-adventure,485
addictive,97
adventure,3785
agriculture,63
aliens,171
alternate history,123
ambient,7
america,49
animation & modeling,34
anime,1193
arcade,705
archery,14
arena shooter,112
artificial intelligence,76
assassin,47
asymmetric vr,6
asynchronous multiplayer,32
atmospheric,2193
atv,7
audio production,12
auto battler,32
automation,77
automobile sim,158
base-building,502
baseball,2
based on a novel,28
basketball,6
battle royale,55
beat 'em up,194
beautiful,167
benchmark,6
bikes,23
blood,107
bmx,4
board game,143
boss rush,7
boxing,11
building,647
bullet hell,214
bullet time,47
capitalism,64
card battler,76
card game,176
cartoon,183
cartoony,320
casual,2261
cats,65
character action game,64
character customization,565
chess,10
choices matter,555
choose your own adventure,188
cinematic,165
city builder,280
class-based,70
classic,657
clicker,99
co-op,1334
co-op campaign,86
cold war,63
collectathon,56
colony sim,151
colorful,716
combat,289
combat racing,40
comedy,821
comic book,89
competitive,245
conspiracy,45
controller,579
conversation,80
cooking,36
cozy,35
crafting,489
creature collector,39
cricket,1
crime,142
crowdfunded,38
crpg,117
cult classic,176
cute,979
cyberpunk,250
cycling,9
dark,532
dark comedy,79
dark fantasy,310
dark humor,216
dating sim,261
deckbuilding,97
demons,116
design & illustration,58
destruction,132
detective,243
difficult,1195
dinosaurs,40
diplomacy,50
documentary,5
dog,34
dragons,61
drama,225
driving,204
dungeon crawler,330
dungeons & dragons,20
dynamic narration,40
dystopian,136
early access,1066
economy,314
education,149
electronic,2
electronic music,3
emotional,170
epic,47
episodic,54
escape room,82
esports,132
experience,20
experimental,111
exploration,1155
faith,25
family friendly,785
fantasy,1211
farming,20
farming sim,70
fast-paced,302
feature film,2
female protagonist,1118
fighting,223
first-person,1364
fishing,58
flight,121
fmv,55
football,32
football (american),12
foreign,19
fox,2
fps,847
free to play,885
funny,1334
futuristic,250
gambling,18
game development,35
gamemaker,42
games workshop,47
gaming,9
god game,79
golf,17
gore,792
gothic,75
grand strategy,152
great soundtrack,1862
grid-based movement,54
gun customization,67
hack and slash,435
hacking,57
hand-drawn,274
hardware,4
heist,40
hentai,247
hero shooter,25
hex grid,70
hidden object,169
historical,375
hobby sim,2
hockey,2
horror,1163
horses,19
hunting,41
idler,77
illuminati,60
immersive,35
immersive sim,208
indie,4193
intentionally awkward controls,8
interactive fiction,195
inventory management,86
investigation,131
isometric,381
jet,14
job simulator,8
jrpg,383
jump scare,11
kickstarter,85
lego,32
lemmings,10
level editor,179
lgbtq+,169
life sim,133
linear,128
local co-op,466
local multiplayer,457
logic,106
loot,189
looter shooter,40
lore-rich,104
lovecraftian,126
magic,258
mahjong,10
management,622
mars,35
martial arts,71
massively multiplayer,385
masterpiece,1
match 3,43
mature,398
mechs,92
medical sim,16
medieval,301
memes,380
metroidvania,209
military,282
mini golf,10
minigames,31
minimalist,217
mining,54
mmorpg,146
moba,45
mod,31
moddable,302
modern,72
motocross,9
motorbike,26
mouse only,76
movie,19
multiplayer,2391
multiple endings,419
music,130
music-based procedural generation,16
musou,15
mystery,570
mystery dungeon,30
mythology,101
narration,154
narrative,32
nature,113
naval,61
naval combat,41
ninja,63
noir,94
nonlinear,68
nostalgia,71
nsfw,131
nudity,661
offroad,27
old school,231
on-rails shooter,15
online co-op,694
open world,1349
open world survival craft,158
otome,42
outbreak sim,10
parkour,134
parody,58
party,39
party game,45
party-based rpg,145
perma death,219
philosophical,62
photo editing,9
physics,460
pinball,12
pirates,74
pixel graphics,1120
platformer,836
point & click,620
political,68
political sim,45
politics,57
pool,8
post-apocalyptic,334
precision platformer,64
procedural generation,421
programming,42
psychedelic,116
psychological,149
psychological horror,782
puzzle,1439
puzzle-platformer,375
pve,257
pvp,572
quick-time events,41
racing,290
real time tactics,162
real-time,120
real-time with pause,129
realistic,535
reboot,7
relaxing,511
remake,168
replay value,487
resource management,381
retro,853
rhythm,82
robots,195
rock music,4
rogue-like,634
rogue-like deckbuilder,2
rogue-lite,546
roguelike deckbuilder,39
roguevania,15
romance,242
rome,26
rpg,2031
rpgmaker,147
rts,384
rugby,1
runner,48
sailing,35
sandbox,970
satire,36
sci-fi,1099
science,78
score attack,99
sequel,39
sexual content,690
shoot 'em up,228
shooter,1150
shop keeper,4
short,373
side scroller,449
silent protagonist,30
simulation,1893
singleplayer,5237
skateboarding,6
skating,9
skiing,7
sniper,35
snooker,6
snow,17
snowboarding,4
soccer,26
social deduction,19
software,53
software training,12
sokoban,17
solitaire,6
souls-like,148
soundtrack,102
space,477
space sim,114
spaceships,15
spectacle fighter,51
spelling,5
split screen,105
sports,292
stealth,304
steam machine,3
steampunk,101
story rich,1927
strategy,2030
strategy rpg,168
stylized,362
submarine,18
superhero,48
supernatural,105
surreal,290
survival,936
survival horror,390
swordplay,81
tabletop,93
tactical,556
tactical rpg,156
tanks,57
team-based,196
tennis,2
text-based,93
third person,886
third-person shooter,271
thriller,137
tile-matching,1
time attack,31
time management,88
time manipulation,46
time travel,64
top-down,463
top-down shooter,167
touch-friendly,67
tower defense,181
trackir,13
trading,78
trading card game,53
traditional rogue-like,1
traditional roguelike,38
trains,53
transhumanism,20
transportation,41
trivia,10
turn-based,557
turn-based combat,347
turn-based strategy,407
turn-based tactics,285
tutorial,45
twin stick shooter,136
typing,26
underground,22
underwater,54
unforgiving,15
utilities,44
vampire,51
vehicular combat,62
video production,19
vikings,25
villain protagonist,71
violent,743
visual novel,566
voice control,7
volleyball,1
voxel,87
vr,393
vr only,160
walking simulator,278
war,389
wargame,131
warhammer 40k,33
web publishing,17
well-written,5
werewolves,12
western,50
wholesome,39
word game,38
world war i,38
world war ii,170
wrestling,6
zombies,326
